Sheet [Danh mục] Row 2:  |                 CÔNG TY CỔ PHẦN SÁCH VÀ THIẾT BỊ GIÁO DỤC MIỀN BẮC |  |  |  |  |  |  | 
Sheet [Danh mục] Row 3:  |                         ĐC: Số 24 - 25 liền kề 11, khu đô thị mới Văn Khê, P. La Khê, Q. Hà Đông, TP Hà Nội |  |  |  |  |  |  | 
Sheet [Danh mục] Row 4:  |  Điện thoại : 024.38562011 -  Fax : 024.38562493 |  |  |  |  |  |  | 
Sheet [Danh mục] Row 5:  | Hotline: Mr Đinh Trọng Tâm - TP kinh doanh: 0913 345 231  |  |  |  |  |  |  | 
Sheet [Danh mục] Row 6:  |  Email: kd.stbmb@gmail.com     Website: stbmienbac.vn   |  |  |  |  |  |  | 
Sheet [Danh mục] Row 9: DANH MỤC SÁCH THEO CHƯƠNG TRÌNH GDPT 2018
PHỤC VỤ NĂM HỌC 2023 - 2024 |  |  |  |  |  |  |  | 
Sheet [Danh mục] Row 11: STT | TT | Mã SP | TÊN SÁCH | TÁC GIẢ | QUY CÁCH |  |   GIÁ BÌA 
(đồng) | 
Sheet [Danh mục] Row 12:  |  |  |  |  | Số trang | Khổ sách |  | 
Sheet [Danh mục] Row 13: LỚP 1 |  |  |  |  |  |  |  | 
Sheet [Danh mục] Row 14: Bộ " Kết nối tri thức với cuộc sống" |  |  |  |  |  |  |  | 
Sheet [Danh mục] Row 15:  | I | Sách giáo khoa |  |  |  |  |  | 
Sheet [Danh mục] Row 16:  | 1 | G1HH1T001 | Toán 1, tập 1 (Kết nối tri thức với cuộc sống) | Hà Huy Khoái (Tổng Chủ biên), Lê Anh Vinh (Chủ biên), Nguyễn Áng, Vũ Văn Dương, Nguyễn Minh Hải, Bùi Bá Mạnh |  | 19 x 26,5 | 17,000 | 
Sheet [Danh mục] Row 17:  | 2 | G1HH1T002 | Toán 1, tập 2 (Kết nối tri thức với cuộc sống) | Hà Huy Khoái (Tổng Chủ biên), Lê Anh Vinh (Chủ biên), Nguyễn Áng, Vũ Văn Dương, Nguyễn Minh Hải, Bùi Bá Mạnh |  | 19 x 26,5 | 16,000 | 
Sheet [Danh mục] Row 18:  | 3 | G1HH1V001 | Tiếng Việt 1, tập 1 (Kết nối tri thức với cuộc sống) | Bùi Mạnh Hùng (Tổng Chủ biên kiêm Chủ biên), Lê Thị Lan Anh, Nguyễn Thị Ngân Hoa, Vũ Thị Thanh Hương, Vũ Thị Lan |  | 19 x 26,5 | 30,000 | 
Sheet [Danh mục] Row 19:  | 4 | G1HH1V002 | Tiếng Việt 1, tập 2 (Kết nối tri thức với cuộc sống) | Bùi Mạnh Hùng (Tổng Chủ biên kiêm Chủ biên), Vũ Kim Bảng, Trịnh Cẩm Lan, Chu Thị Phương, Trần Kim Phượng, Đặng Thị Hảo Tâm |  | 19 x 26,5 | 29,000 | 
Sheet [Danh mục] Row 20:  | 5 | G1HH1X001 | Tự nhiên và Xã hội 1 (Kết nối tri thức với cuộc sống) | Vũ Văn Hùng (Tổng Chủ biên), Nguyễn Thị Thấn (Chủ biên), Đào Thị Hồng, Phương Hà Lan, Hoàng Quý Tỉnh |  | 19 x 26,5 | 21,000 | 
Sheet [Danh mục] Row 21:  | 6 | G1HH1E001 | Giáo dục Thể chất 1 (Kết nối tri thức với cuộc sống) | Nguyễn Duy Quyết (Tổng Chủ biên), Lê Anh Thơ (Chủ biên), Vũ Thị Thư, Vũ Thị Hồng Thu, Đỗ Mạnh Hưng, Vũ Văn Thịnh, Phạm Mai Vương |  | 19 x 26,5 | 16,000 | 
