==================================================
SHEET INDEX 1 : Danh mục
==================================================
Row   2:  |                 CÔNG TY CỔ PHẦN SÁCH VÀ THIẾT BỊ GIÁO DỤC MIỀN BẮC |  |  |  |  |  |  | 
Row   3:  |                         ĐC: Số 24 - 25 liền kề 11, khu đô thị mới Văn Khê, P. La Khê, Q. Hà Đông, TP Hà Nội |  |  |  |  |  |  | 
Row   4:  |  Điện thoại : 024.38562011 -  Fax : 024.38562493 |  |  |  |  |  |  | 
Row   5:  | Hotline: Mr Đinh Trọng Tâm - TP kinh doanh: 0913 345 231  |  |  |  |  |  |  | 
Row   6:  |  Email: kd.stbmb@gmail.com     Website: stbmienbac.vn   |  |  |  |  |  |  | 
Row   9: DANH MỤC SÁCH THEO CHƯƠNG TRÌNH GDPT 2018
PHỤC VỤ NĂM HỌC 2023 - 2024 |  |  |  |  |  |  |  | 
Row  11: STT | TT | Mã SP | TÊN SÁCH | TÁC GIẢ | QUY CÁCH |  |   GIÁ BÌA 
(đồng) | 
Row  12:  |  |  |  |  | Số trang | Khổ sách |  | 
Row  13: LỚP 1 |  |  |  |  |  |  |  | 
Row  14: Bộ " Kết nối tri thức với cuộc sống" |  |  |  |  |  |  |  | 
Row  15:  | I | Sách giáo khoa |  |  |  |  |  | 
Row  16:  | 1 | G1HH1T001 | Toán 1, tập 1 (Kết nối tri thức với cuộc sống) | Hà Huy Khoái (Tổng Chủ biên), Lê Anh Vinh (Chủ biên), Nguyễn Áng, Vũ Văn Dương, Nguyễn Minh Hải, Bùi Bá Mạnh |  | 19 x 26,5 | 17,000 | 
Row  17:  | 2 | G1HH1T002 | Toán 1, tập 2 (Kết nối tri thức với cuộc sống) | Hà Huy Khoái (Tổng Chủ biên), Lê Anh Vinh (Chủ biên), Nguyễn Áng, Vũ Văn Dương, Nguyễn Minh Hải, Bùi Bá Mạnh |  | 19 x 26,5 | 16,000 | 
Row  18:  | 3 | G1HH1V001 | Tiếng Việt 1, tập 1 (Kết nối tri thức với cuộc sống) | Bùi Mạnh Hùng (Tổng Chủ biên kiêm Chủ biên), Lê Thị Lan Anh, Nguyễn Thị Ngân Hoa, Vũ Thị Thanh Hương, Vũ Thị Lan |  | 19 x 26,5 | 30,000 | 
Row  19:  | 4 | G1HH1V002 | Tiếng Việt 1, tập 2 (Kết nối tri thức với cuộc sống) | Bùi Mạnh Hùng (Tổng Chủ biên kiêm Chủ biên), Vũ Kim Bảng, Trịnh Cẩm Lan, Chu Thị Phương, Trần Kim Phượng, Đặng Thị Hảo Tâm |  | 19 x 26,5 | 29,000 | 
Row  20:  | 5 | G1HH1X001 | Tự nhiên và Xã hội 1 (Kết nối tri thức với cuộc sống) | Vũ Văn Hùng (Tổng Chủ biên), Nguyễn Thị Thấn (Chủ biên), Đào Thị Hồng, Phương Hà Lan, Hoàng Quý Tỉnh |  | 19 x 26,5 | 21,000 | 
Row  21:  | 6 | G1HH1E001 | Giáo dục Thể chất 1 (Kết nối tri thức với cuộc sống) | Nguyễn Duy Quyết (Tổng Chủ biên), Lê Anh Thơ (Chủ biên), Vũ Thị Thư, Vũ Thị Hồng Thu, Đỗ Mạnh Hưng, Vũ Văn Thịnh, Phạm Mai Vương |  | 19 x 26,5 | 16,000 | 
Row  22:  | 7 | G1HH1G001 | Đạo đức 1 (Kết nối tri thức với cuộc sống) | Nguyễn Thị Toan (Tổng Chủ biên), Trần Thành Nam (Chủ biên), Lê Thị Tuyết Mai, Lục Thị Nga |  | 19 x 26,5 | 12,000 | 
Row  23:  | 8 | G1HH1M001 | Mĩ thuật 1 (Kết nối tri thức với cuộc sống) | Đinh Gia Lê (Tổng Chủ biên), Trần Thị Biển (Chủ biên), Phạm Duy Anh |  | 19 x 26,5 | 12,000 | 
Row  24:  | 9 | G1HH1Q001 | Hoạt động trải nghiệm 1 (Kết nối tri thức với cuộc sống) | Bùi Sỹ Tụng (Tổng Chủ biên), Nguyễn Thanh Bình (Chủ biên), Trần Thị Thu, Vũ Thị Lan Anh, Lê Thị Luận |  | 19 x 26,5 | 15,000 | 
Row  25:  | 10 | G1HH1R001 | Âm nhạc 1 (Kết nối tri thức với cuộc sống) | Đỗ Thị Minh Chính (Tổng Chủ biên kiêm Chủ biên), Mai Linh Chi, Nguyễn Thị Phương Mai, Đặng Khánh Nhật, Nguyễn Thị Thanh Vân |  | 19 x 26,5 | 11,000 | 
Row  26:  | II | Sách bổ trợ |  |  |  |  |  | 
Row  27:  | 1 | G1BH1T001 | Vở bài tập Toán 1, tập 1 (Kết nối tri thức với cuộc sống) | Lê Anh Vinh (Chủ biên), Nguyễn Áng, Vũ Văn Dương, Nguyễn Minh Hải, Bùi Bá Mạnh |  | 17 x 24 | 16,000 | 
Row  28:  | 2 | G1BH1T002 | Vở bài tập Toán 1, tập 2  (Kết nối tri thức với cuộc sống) | Lê Anh Vinh (Chủ biên), Nguyễn Áng, Vũ Văn Dương, Nguyễn Minh Hải, Bùi Bá Mạnh, Hoàng Quế Hường |  | 17 x 24 | 16,000 | 
Row  29:  | 3 | G1BH1V001 | Vở bài tập Tiếng Việt 1, tập 1 (Kết nối tri thức với cuộc sống) | Bùi Mạnh Hùng (Chủ biên), Lê Thị Lan Anh, Vũ Thị Thanh Hương, Vũ Thị Lan, Văn Thị Phương Mỹ, Hoàng Minh Ngọc |  | 17 x 24 | 13,000 | 
Row  30:  | 4 | G1BH1V002 | Vở bài tập Tiếng Việt 1, tập 2 (Kết nối tri thức với cuộc sống) | Bùi Mạnh Hùng (Chủ biên), Vũ Kim Bảng, Trịnh Cẩm Lan, Chu Thị Phương, Trần Kim Phượng, Đặng Thị Hảo Tâm |  | 17 x 24 | 13,000 | 
Row  31:  | 5 | G1BH1X001 | Vở bài tập Tự nhiên và Xã hội 1 (Kết nối tri thức với cuộc sống) | Vũ Văn Hùng (Chủ biên), Đào Thị Hồng, Phương Hà Lan, Nguyễn Thị Thấn, Hoàng Quý Tỉnh,  |  | 17 x 24 | 13,000 | 
Row  32:  | 6 | G1BH1G001 | Vở bài tập Đạo đức 1 (Kết nối tri thức với cuộc sống) | Nguyễn Thị Toan (Chủ biên), Trần Thành Nam, Lê Thị Tuyết Mai, Lục Thị Nga |  | 17 x 24 | 11,000 | 
Row  33:  | 7 | G1BH1M001 | Vở bài tập Mĩ thuật 1 (Kết nối tri thức với cuộc sống) | Đinh Gia Lê (Chủ biên), Trần Thị Biển, Phạm Duy Anh |  | 17 x 24 | 10,000 | 
Row  34:  | 8 | G1BH1Q001 | Vở bài tập Hoạt động trải nghiệm 1 (Kết nối tri thức với cuộc sống) | Bùi Sỹ Tụng (Chủ biên), Lê Thị Luận, Lưu Danh Văn |  | 17 x 24 | 9,000 | 
Row  35:  | 9 | G1BH1R001 | Vở bài tập Âm nhạc 1 (Kết nối tri thức với cuộc sống) | Đỗ Thị Minh Chính (Chủ biên), Mai Linh Chi, Nguyễn Thị Phương Mai, Đặng Khánh Nhật, Nguyễn Thị Thanh Vân |  | 17 x 24 | 8,000 | 
Row  36:  | 10 | G1BH1V003 | Tập viết 1, tập 1 (Kết nối tri thức với cuộc sống) | Bùi Mạnh Hùng, Phạm Kim Chung |  | 17 x 24 | 9,000 | 
Row  37:  | 11 | G1BH1V004 | Tập viết 1, tập 2 (Kết nối tri thức với cuộc sống) | Bùi Mạnh Hùng, Phạm Kim Chung |  | 17 x 24 | 8,000 | 
Row  38:  | III | Sách giáo viên |  |  |  |  |  | 
Row  39:  | 1 | G1HG1T001 | Toán 1 – Sách giáo viên (Kết nối tri thức với cuộc sống) | Hà Huy Khoái (Tổng chủ biên) – Lê Anh Vinh (Chủ biên) – Nguyễn Áng – Vũ Văn Dương – Nguyễn Minh Hải – Vũ Văn Luân - Bùi Bá Mạnh   |  | 19 x 26,5 | 40,000 | 
Row  40:  | 2 | G1HG1V001 | Tiếng Việt 1, tập một – Sách giáo viên (Kết nối tri thức với cuộc sống) | Bùi Mạnh Hùng (Tổng chủ biên kiêm Chủ biên) - Lê Thị Lan Anh- Nguyễn Thị Ngân Hoa- Vũ Thị Thanh Hương – Vũ Thị Lan |  | 19 x 26,5 | 99,000 | 
Row  41:  | 3 | G1HG1V002 | Tiếng Việt 1, tập hai – Sách giáo viên (Kết nối tri thức với cuộc sống) | Bùi Mạnh Hùng (Tổng chủ biên kiêm Chủ biên) – Vũ Kim Bảng – Trịnh Cẩm Lan – Chu Thị Phương – Trần Kim Phượng – Đặng Thị Hảo Tâm |  | 19 x 26,5 | 69,000 | 
Row  42:  | 4 | G1HG1X001 | Tự nhiên và  xã hội 1 – Sách giáo viên (Kết nối tri thức với cuộc sống) | Vũ Văn Hùng (Tổng chủ biên) – Nguyễn Thị Thấn (Chủ biên) – Đào Thị Hồng – Phương Hà Lan – Hoàng Quý Tỉnh |  | 19 x 26,5 | 43,000 | 
Row  43:  | 5 | G1HG1E001 | Giáo dục  thể chất 1 – Sách giáo viên (Kết nối tri thức với cuộc sống) | Nguyễn Duy Quyết (Tổng chủ biên) – Lê Anh Thơ (Chủ biên) – Đỗ Mạnh Hưng – Vũ Văn Thịnh – Vũ Thị Hồng Thu – Vũ Thị Thư – Phạm Mai Vương |  | 19 x 26,5 | 39,000 | 
Row  44:  | 6 | G1HG1G001 | Đạo đức 1 – Sách giáo viên (Kết nối tri thức với cuộc sống) | Nguyễn Thị Toan (Tổng chủ biên) – Trần Thành Nam (Chủ biên) – Lê Thị Tuyết Mai – Lục Thị Nga |  | 19 x 26,5 | 34,000 | 
Row  45:  | 7 | G1HG1M001 | Mĩ thuật 1 – Sách giáo viên (Kết nối tri thức với cuộc sống) | Đinh Gia Lê (Tổng chủ biên) – Trần Thị Biển (Chủ biên) – Phạm Duy Anh |  | 19 x 26,5 | 15,000 | 
Row  46:  | 8 | G1HG1Q001 | Hoạt động  trải nghiệm 1 – Sách giáo viên (Kết nối tri thức với cuộc sống) | Bùi Sỹ Tụng (Tổng chủ biên) – Nguyễn Thanh Bình (Chủ biên) – Vũ Thị Lan Anh – Nguyễn Thị Mai Lan – Trần Thị Thu  |  | 19 x 26,5 | 68,000 | 
Row  47:  | 9 | G1HG1R001 | Âm nhạc 1 – Sách giáo viên (Kết nối tri thức với cuộc sống) | Đỗ Thị Minh Chính (Tổng chủ biên kiêm Chủ biên) – Mai Linh Chi – Nguyễn Thị Phương Mai – Đặng Khánh Nhật – Nguyễn Thị Thanh Vân |  | 19 x 26,5 | 27,000 | 
Row  48: Bộ " Chân trời sáng tạo" |  |  |  |  |  |  |  | 
Row  49:  | I | Sách giáo khoa |  |  |  |  |  | 
Row  50:  | 1 | G2HH1T001 | Toán 1 (Chân trời sáng tạo) | Trần Nam Dũng (Tổng Chủ biên), Khúc Thành Chính (Chủ biên), Đinh Thị Xuân Dung, Nguyễn Kính Đức, Đinh Thị Kim Lan, Huỳnh Thị Kim Trang |  | 19 x 26.5 | 28,000 | 
Row  51:  | 2 | G2HH1V001 | Tiếng Việt 1, Tập 1 (Chân trời sáng tạo) | Bùi Mạnh Hùng (Tổng Chủ biên), Nguyễn Thị Ly Kha (Chủ biên), Nguyễn Lương Hải Như, Phạm Thị Kim Oanh, Vũ Minh Tâm, Nguyễn Xuân Tùng |  | 19 x 26.5 | 33,000 | 
Row  52:  | 3 | G2HH1V002 | Tiếng Việt 1, Tập 2 (Chân trời sáng tạo) | Bùi Mạnh Hùng (Tổng Chủ biên), Nguyễn Thị Ly Kha (Chủ biên), Nguyễn Thành Ngọc Bảo, Phạm Vĩnh Lộc, Nguyễn Lương Hải Như, Nguyễn Thị Xuân Yến |  | 19 x 26.5 | 31,000 | 
Row  53:  | 4 | G2HH1X001 | Tự nhiên và xã hội 1 (Chân trời sáng tạo) | Đỗ Xuân Hội (Tổng Chủ biên), Nguyễn Thị Thu Hằng (Chủ biên), Phạm Phương Anh, Lưu Phương Thanh Bình, Trần Thị Thu Hiền, Lý Khánh Hoa, Mai Thị Kim Phượng |  | 19 x 26.5 | 24,000 | 
Row  54:  | 5 | G2HH1E001 | Giáo dục thể chất 1 (Chân trời sáng tạo) | Phạm Thị Lệ Hằng (Chủ biên), Bùi Ngọc Bích, Trần Thanh Dũng, Lê Hải, Nguyễn Đình Phát, Nguyễn Hoàng Minh Thuận, Trần Minh Tuấn |  | 19 x 26.5 | 16,000 | 
Row  55:  | 6 | G2HH1G001 | Đạo đức 1 (Chân trời sáng tạo) | Đinh Phương Duy (Tổng Chủ biên), Trần Thanh Bình (Chủ biên), Trần Minh Hường, Lê Phương Trí, Trần Hoàng Túy |  | 19 x 26.5 | 13,000 | 
Row  56:  | 7 | G2HH1M001 | Mĩ thuật 1 (Chân trời sáng tạo) | Nguyễn Xuân Tiên (Tổng Chủ biên), Hoàng Minh Phúc (Chủ biên), Nguyễn Thị Hiền, Nguyễn Minh Thiên Hoàng, Nguyễn Hồng Ngọc, Lâm Yến Như |  | 19 x 26.5 | 13,000 | 
Row  57:  | 8 | G2HH1Q001 | Hoạt động trải nghiệm 1 (Chân trời sáng tạo) | Vũ Quang Tuyên (Tổng Chủ biên), Nguyễn Hữu Tâm (Chủ biên), Lê Phương Trí, Nguyễn Thị Hà Liên |  | 19 x 26.5 | 16,000 | 
Row  58:  | 9 | G2HH1R001 | Âm nhạc 1 (Chân trời sáng tạo) | Hồ Ngọc Khải (Tổng Chủ biên kiêm Chủ biên), Nguyễn Đăng Bửu, Trần Ngọc Hưng |  | 19 x 26.5 | 12,000 | 
Row  59:  | II | Sách bổ trợ |  |  |  |  |  | 
Row  60:  | 1 | G2BH1T001 | Vở bài tập Toán 1, tập 1 (Chân trời sáng tạo) | Trần Nam Dũng (Tổng Chủ biên), Khúc Thành Chính (Chủ biên), Đinh Thị Xuân Dung, Nguyễn Kính Đức, Đinh Thị Kim Lan, Huỳnh Thị Kim Trang |  | 17 x 24 | 16,000 | 
Row  61:  | 2 | G2BH1T002 | Vở bài tập Toán 1, tập 2 (Chân trời sáng tạo) | Trần Nam Dũng (Tổng Chủ biên), Khúc Thành Chính (Chủ biên), Đinh Thị Xuân Dung, Nguyễn Kính Đức, Đinh Thị Kim Lan, Huỳnh Thị Kim Trang |  | 17 x 24 | 15,000 | 
Row  62:  | 3 | G2BH1V001 | Vở bài tập Tiếng Việt 1, Tập 1 (Chân trời sáng tạo) | Bùi Mạnh Hùng (Tổng Chủ biên), Nguyễn Thị Ly Kha (Chủ biên), Nguyễn Lương Hải Như, Phạm Thị Kim Oanh, Vũ Minh Tâm, Nguyễn Xuân Tùng |  | 17 x 24 | 12,000 | 
Row  63:  | 4 | G2BH1V002 | Vở bài tập Tiếng Việt 1 , Tập 2 (Chân trời sáng tạo) | Bùi Mạnh Hùng (Tổng Chủ biên), Nguyễn Thị Ly Kha (Chủ biên), Nguyễn Thành Ngọc Bảo, Nguyễn Phước Bảo Khôi, Phạm Vĩnh Lộc, Nguyễn Lương Hải Như, Nguyễn Thị Xuân Yến |  | 17 x 24 | 15,000 | 
Row  64:  | 5 | G2BH1X001 | Vở bài tập Tự nhiên và Xã hội 1 (Chân trời sáng tạo) | Đỗ Xuân Hội (Tổng Chủ biên), Nguyễn Thị Thu Hằng (Chủ biên), Phạm Phương Anh, Lưu Phương Thanh Bình, Trần Thị Thu Hiền, Lý Khánh Hoa, Mai Thị Kim Phượng |  | 17 x 24 | 16,000 | 
Row  65:  | 6 | G2BH1G001 | Vở bài tập Đạo đức 1 (Chân trời sáng tạo) | Trần Thanh Bình (Chủ biên), Mai Khắc Hùng, Trần Minh Hường, Hà Thị Thanh Nga, Lâm Hồng Lãm Thúy, Lê Phương Trí |  | 17 x 24 | 10,000 | 
