=========================================================================================================
TONG HOP CHI TIET DON DAT SACH GIAO KHOA THPT (TU FILE SGKTHPT.xlsx)
=========================================================================================================
[Lá»›p 10] STT  1 | Ma: G1HHXV001  | Ten: Ngữ văn 10, tập một (KNTT)                              | Gia:   20,200 Ä‘ | SL:  9 | ThanhTien:    181,800 Ä‘ | Ghi chu: 
[Lá»›p 10] STT  2 | Ma: G1BHXV001  | Ten: Bài tập Ngữ văn 10, tập một (KNTT)                      | Gia:   13,000 Ä‘ | SL:  8 | ThanhTien:    104,000 Ä‘ | Ghi chu: Trần Thị Dung Nhi không lấy vở
[Lá»›p 10] STT  3 | Ma: G1HHXV002  | Ten: Ngữ văn 10, tập hai (KNTT)                              | Gia:   16,500 Ä‘ | SL:  9 | ThanhTien:    148,500 Ä‘ | Ghi chu: 
[Lá»›p 10] STT  4 | Ma: G1BHXV002  | Ten: Bài tập Ngữ văn 10, tập hai (KNTT)                      | Gia:   12,000 Ä‘ | SL:  8 | ThanhTien:     96,000 Ä‘ | Ghi chu: Trần Thị Dung Nhi không lấy vở
[Lá»›p 10] STT  5 | Ma: G1HHXV003  | Ten: Chuyên đề học tập Ngữ văn 10 (KNTT)                     | Gia:   12,900 Ä‘ | SL:  4 | ThanhTien:     51,600 Ä‘ | Ghi chu: Khối D (4 HS)
[Lá»›p 10] STT  6 | Ma: G1HHXT001  | Ten: Toán 10 tập một  (KNTT)                                 | Gia:   12,800 Ä‘ | SL:  9 | ThanhTien:    115,200 Ä‘ | Ghi chu: 
[Lá»›p 10] STT  7 | Ma: G1BHXT001  | Ten: Bài tập Toán 10, tập một (KNTT)                         | Gia:   18,000 Ä‘ | SL:  9 | ThanhTien:    162,000 Ä‘ | Ghi chu: 
[Lá»›p 10] STT  8 | Ma: G1HHXT002  | Ten: Toán 10 tập hai (KNTT)                                  | Gia:   12,400 Ä‘ | SL:  9 | ThanhTien:    111,600 Ä‘ | Ghi chu: 
[Lá»›p 10] STT  9 | Ma: G1BHXT002  | Ten: Bài tập Toán 10, tập hai (KNTT)                         | Gia:   19,000 Ä‘ | SL:  9 | ThanhTien:    171,000 Ä‘ | Ghi chu: 
[Lá»›p 10] STT 10 | Ma: G1HHXT003  | Ten: Chuyên đề học tập - Toán 10 (KNTT)                      | Gia:    7,600 Ä‘ | SL:  8 | ThanhTien:     60,800 Ä‘ | Ghi chu: Khối A (4 HS) + Khối D (4 HS)
[Lá»›p 10] STT 11 | Ma: G1HHXS001  | Ten: Lịch Sử 10 (KNTT)                                       | Gia:   13,900 Ä‘ | SL:  4 | ThanhTien:     55,600 Ä‘ | Ghi chu: Khối D (4 HS)
[Lá»›p 10] STT 12 | Ma: G1HHXS002  | Ten:  Chuyên đề học tập Lịch Sử 10 (KNTT)                    | Gia:    8,200 Ä‘ | SL:  4 | ThanhTien:     32,800 Ä‘ | Ghi chu: Khối D (4 HS)
[Lá»›p 10] STT 13 | Ma: G0MHXS001  | Ten: Tập bản đồ và tư liệu Lịch sử 10 - phần Lịch sử         | Gia:   38,000 Ä‘ | SL:  4 | ThanhTien:    152,000 Ä‘ | Ghi chu: Khối D (4 HS)
[Lá»›p 10] STT 14 | Ma: G0MHXD001  | Ten: Tập bản đồ Địa lí 10 - phần Địa lí                      | Gia:   39,800 Ä‘ | SL:  4 | ThanhTien:    159,200 Ä‘ | Ghi chu: Khối D (4 HS)
[Lá»›p 10] STT 15 | Ma: G1BHXS001  | Ten: Bài tập Lịch sử 10 (KNTT)                               | Gia:   18,000 Ä‘ | SL:  4 | ThanhTien:     72,000 Ä‘ | Ghi chu: Khối D (4 HS)
[Lá»›p 10] STT 20 | Ma: G1HHXQ001  | Ten: Hoạt động trải nghiệm, Hướng nghiệp 10  (KNTT)          | Gia:    9,100 Ä‘ | SL:  9 | ThanhTien:     81,900 Ä‘ | Ghi chu: 
[Lá»›p 10] STT 21 | Ma: G1BHXQ001  | Ten: Bài tập hoạt động trải nghiệm, hướng nghiệp 10 (KNTT)   | Gia:   10,000 Ä‘ | SL:  9 | ThanhTien:     90,000 Ä‘ | Ghi chu: 
[Lá»›p 10] STT 22 | Ma: G3HHXP001  | Ten: Giáo dục quốc phòng và an ninh 10 (KNTT)                | Gia:   11,400 Ä‘ | SL:  9 | ThanhTien:    102,600 Ä‘ | Ghi chu: 
[Lá»›p 10] STT 23 | Ma: G3BHXP001  | Ten: Giáo dục quốc phòng và an ninh 10, Sách bài tập   (KNTT) | Gia:   10,000 Ä‘ | SL:  9 | ThanhTien:     90,000 Ä‘ | Ghi chu: 
[Lá»›p 10] STT 24 | Ma: G3HHXA001  | Ten: Tiếng Anh 10 – Sách học sinh  - Global Success          | Gia:   31,300 Ä‘ | SL:  9 | ThanhTien:    281,700 Ä‘ | Ghi chu: 
[Lá»›p 10] STT 25 | Ma: G3BHXA001  | Ten: Tiếng Anh 10 – Sách bài tập  - Global Success           | Gia:   60,000 Ä‘ | SL:  9 | ThanhTien:    540,000 Ä‘ | Ghi chu: 
[Lá»›p 10] STT 26 | Ma: G1HHXL001  | Ten: Vật lí 10 (KNTT)                                        | Gia:   17,100 Ä‘ | SL:  4 | ThanhTien:     68,400 Ä‘ | Ghi chu: Khối A (4 HS)
[Lá»›p 10] STT 27 | Ma: G1HHXL002  | Ten: Chuyên đề học tập Vật lí 10 (KNTT)                      | Gia:    9,500 Ä‘ | SL:  4 | ThanhTien:     38,000 Ä‘ | Ghi chu: Khối A (4 HS)
[Lá»›p 10] STT 28 | Ma: G1BHXL001  | Ten: Bài tập Vật lí 10 (KNTT)                                | Gia:   17,000 Ä‘ | SL:  4 | ThanhTien:     68,000 Ä‘ | Ghi chu: Khối A (4 HS)
[Lá»›p 10] STT 29 | Ma: G1HHXH001  | Ten: Hóa học 10  (KNTT)                                      | Gia:   14,900 Ä‘ | SL:  4 | ThanhTien:     59,600 Ä‘ | Ghi chu: Khối A (4 HS)
[Lá»›p 10] STT 30 | Ma: G1HHXH002  | Ten: Chuyên đề học tập Hóa học 10 (KNTT)                     | Gia:    9,100 Ä‘ | SL:  4 | ThanhTien:     36,400 Ä‘ | Ghi chu: Khối A (4 HS)
[Lá»›p 10] STT 31 | Ma: G0AHPH001  | Ten: Bảng tuần hoàn các nguyên tố hóa học (Dành cho học sinh Trung học phổ thông - Theo chương trình GDPT năm 2018) | Gia:    9,000 Ä‘ | SL:  4 | ThanhTien:     36,000 Ä‘ | Ghi chu: Khối A (4 HS)
[Lá»›p 10] STT 32 | Ma: G1BHXH001  | Ten: Bài tập Hóa học 10 (KNTT)                               | Gia:   17,000 Ä‘ | SL:  4 | ThanhTien:     68,000 Ä‘ | Ghi chu: Khối A (4 HS)
[Lá»›p 10] STT 33 | Ma: G1HHXB001  | Ten: Sinh học 10  (KNTT)                                     | Gia:   19,600 Ä‘ | SL:  4 | ThanhTien:     78,400 Ä‘ | Ghi chu: Khối A (4 HS)
[Lá»›p 10] STT 34 | Ma: G1HHXB002  | Ten: Chuyên đề học tập Sinh học 10 (KNTT)                    | Gia:   10,800 Ä‘ | SL:  4 | ThanhTien:     43,200 Ä‘ | Ghi chu: Khối A (4 HS)
